NameID	Name
100397794	Aakia tuerckheimii (Hack.) J.R. Grande
13076345	Abarema idiopoda (S.F. Blake) Barneby & J.W. Grimes
50095868	Abarema zolleriana (Standl. & Steyerm.) Barneby & J.W. Grimes
13200701	Abatia mexicana Standl.
50143219	Abelia coriacea Hemsl.
6000425	Abelia floribunda (M. Martens & Galeotti) Decne.
50175052	Abelia grandifolia Villarreal
50175051	Abelia mexicana Villarreal
50209364	Abelia occidentalis Villarreal
24900136	Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.
24901700	Abies durangensis Martínez
24900640	Abies guatemalensis Rehder
24900837	Abies hickelii Flous & Gaussen
50080211	Abies hidalgensis Debreczy, I. Rácz & Guízar
24901726	Abies religiosa (Kunth) Schltdl. & Cham.
24901756	Abies vejarii Martínez
50000199	Abildgaardia mexicana (Palla) Kral
9902300	Abildgaardia ovata (Burm. f.) Kral
50305706	Abrodictyum rigidum (Sw.) Ebihara & Dubuisson
22500313	Abronia angustifolia Greene
50144277	Abronia carterae Ferris
22500331	Abronia fragrans Nutt. ex Hook.
22500337	Abronia gracilis Benth.
22500345	Abronia maritima Nutt. ex S. Watson
22500372	Abronia umbellata Lam.
22500378	Abronia villosa S. Watson
20600337	Abuta chiapasensis Krukoff & Barneby
20600127	Abuta panamensis (Standl.) Krukoff & Barneby
20600289	Abuta steyermarkii (Standl.) Standl.
50222347	Abutilon abutiloides (Jacq.) Garcke ex Hochr.
19600191	Abutilon andrieuxii Hemsl.
50137246	Abutilon bastardioides Baker f. ex Rose
19601220	Abutilon berlandieri A. Gray ex S. Watson
19602498	Abutilon bracteosum Fryxell
50137249	Abutilon californicum Benth.
50137253	Abutilon coahuilae Kearney
19600213	Abutilon divaricatum Turcz.
19602782	Abutilon dugesii S. Watson
19602235	Abutilon fruticosum Guill. & Perr.
19600222	Abutilon glabriflorum Hochr.
19600225	Abutilon grandidentatum Fryxell
19601254	Abutilon haenkeanum C. Presl
19601224	Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray
19601225	Abutilon hypoleucum A. Gray
19601226	Abutilon incanum (Link) Sweet
19600233	Abutilon jaliscanum Standl.
50044151	Abutilon macvaughii Fryxell
19600132	Abutilon malacum S. Watson
50125941	Abutilon mollicomum (Willd.) Sweet
19600007	Abutilon mucronatum J.E. Fryxell
19602420	Abutilon pachecoanum Standl. & Steyerm.
19601230	Abutilon palmeri A. Gray
19601232	Abutilon parvulum A. Gray
19601257	Abutilon percaudatum Hochr.
19601233	Abutilon permolle (Willd.) Sweet
50137300	Abutilon pinkavae Fryxell
50137302	Abutilon procerum Fryxell
19601268	Abutilon purpusii Standl.
19601234	Abutilon reventum S. Watson
19601260	Abutilon simulans Rose
19601261	Abutilon sphaerostaminum Hochr.
19601262	Abutilon straminicarpum Fryxell
19600296	Abutilon tehuantepecense Fryxell
19601242	Abutilon trisulcatum (Jacq.) Urb.
19601245	Abutilon wrightii A. Gray
50137312	Abutilon xanti A. Gray
13024459	Acacia rotundata Benth.
13004299	Acaciella angustissima (Mill.) Britton & Rose
100280733	Acaciella barrancana (Gentry) L. Rico
13004301	Acaciella bicolor Britton & Rose
100280734	Acaciella chamelensis (L. Rico) L. Rico
