NameID	Name
100444409	Abdra aprica (Beadle) Al-Shehbaz, M. Koch & Jordon-Thaden
50128508	Abdra brachycarpa (Nutt. ex Torr. & A. Gray) Greene
24900242	Abies amabilis Douglas ex J. Forbes
24900050	Abies balsamea (L.) Mill.
24900292	Abies bifolia A. Murray
24900692	Abies bracteata (D. Don) Poit.
24900136	Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.
24900138	Abies fraseri (Pursh) Poir.
24900139	Abies grandis (Douglas ex D. Don) Lindl.
24900140	Abies lasiocarpa (Hook.) Nutt.
24900288	Abies lowiana (Gordon) A. Murray
24900142	Abies magnifica A. Murray
24900162	Abies procera Rehder
9902300	Abildgaardia ovata (Burm. f.) Kral
22500311	Abronia alpina Brandegee
22500312	Abronia ameliae Lundell
50131684	Abronia ammophila Greene
22500313	Abronia angustifolia Greene
22500750	Abronia argillosa S.L. Welsh & Goodrich
22500326	Abronia bigelovii Heimerl
50218509	Abronia bolackii N.D. Atwood, S.L. Welsh & K.D. Heil
22500329	Abronia carletonii J.M. Coult. & Fisher
22500330	Abronia elliptica A. Nelson
22500331	Abronia fragrans Nutt. ex Hook.
22500339	Abronia latifolia Eschsch.
22500344	Abronia macrocarpa L.A. Galloway
22500345	Abronia maritima Nutt. ex S. Watson
22500346	Abronia mellifera Douglas ex Hook.
22500348	Abronia nana S. Watson
22500352	Abronia pogonantha Heimerl
22500353	Abronia turbinata Torr. ex S. Watson
22500372	Abronia umbellata Lam.
22500378	Abronia villosa S. Watson
50222347	Abutilon abutiloides (Jacq.) Garcke ex Hochr.
19601220	Abutilon berlandieri A. Gray ex S. Watson
50137253	Abutilon coahuilae Kearney
19602235	Abutilon fruticosum Guill. & Perr.
19601224	Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray
19601225	Abutilon hypoleucum A. Gray
19601226	Abutilon incanum (Link) Sweet
19600132	Abutilon malacum S. Watson
50125941	Abutilon mollicomum (Willd.) Sweet
19601230	Abutilon palmeri A. Gray
19601231	Abutilon parishii S. Watson
19601232	Abutilon parvulum A. Gray
19601233	Abutilon permolle (Willd.) Sweet
19601234	Abutilon reventum S. Watson
19601242	Abutilon trisulcatum (Jacq.) Urb.
19601245	Abutilon wrightii A. Gray
13004299	Acaciella angustissima (Mill.) Britton & Rose
13004325	Acaciella lemmonii (Rose) Britton & Rose
27800013	Acaena pinnatifida Ruiz & Pav.
12801952	Acalypha californica Benth.
12801953	Acalypha chamaedrifolia (Lam.) Müll. Arg.
12801954	Acalypha deamii (Weath.) H.E. Ahles
12801955	Acalypha gracilens A. Gray
12801961	Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi
50171182	Acalypha monostachya Cav.
12802238	Acalypha neomexicana Müll. Arg.
