NameID	Name
50095981	Abarema abbottii (Rose & Leonard) Barneby & J.W. Grimes
50095907	Abarema alexandri (Urb.) Barneby & J.W. Grimes
50095903	Abarema aspleniifolia (Griseb.) Barneby & J.W. Grimes
50095905	Abarema glauca (Urb.) Barneby & J.W. Grimes
13000004	Abarema jupunba (Willd.) Britton & Killip
100279915	Abarema maestrensis Bassler
50095980	Abarema nipensis (Britton) Barneby & J.W. Grimes
50095906	Abarema obovalis (A. Rich.) Barneby & J.W. Grimes
50095910	Abarema oppositifolia (Urb.) Barneby & J.W. Grimes
9902300	Abildgaardia ovata (Burm. f.) Kral
100451197	Abrodictyum dentatum (Bosch) Ebihara & K. Iwats.
50305706	Abrodictyum rigidum (Sw.) Ebihara & Dubuisson
50222347	Abutilon abutiloides (Jacq.) Garcke ex Hochr.
50226447	Abutilon buchii Urb.
19601267	Abutilon giganteum (Jacq.) Sweet
50226691	Abutilon haitiense Urb.
19601224	Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray
50226821	Abutilon inclusum Urb.
50226839	Abutilon leonardii Urb.
19601233	Abutilon permolle (Willd.) Sweet
50227128	Abutilon picardae Urb.
19601242	Abutilon trisulcatum (Jacq.) Urb.
50319064	Acaciella glauca (L.) L. Rico
13004350	Acaciella villosa (Sw.) Britton & Rose
12801950	Acalypha alopecuroidea Jacq.
50235916	Acalypha angustifolia Sw.
12805170	Acalypha aristata Kunth
12800538	Acalypha berteroana Müll. Arg.
12801951	Acalypha bisetosa Bertero ex Spreng.
12801953	Acalypha chamaedrifolia (Lam.) Müll. Arg.
12807828	Acalypha cubensis Urb.
12806723	Acalypha cuspidata Jacq.
12800566	Acalypha distans Müll. Arg.
50171150	Acalypha elizabethae R.A. Howard
50237174	Acalypha elliptica Griseb.
50171154	Acalypha fissa (Müll. Arg.) Hutch.
50171158	Acalypha glechomifolia A. Rich.
12800580	Acalypha havanensis Müll. Arg.
50171167	Acalypha hutchinsonii Britton
50235921	Acalypha laevigata Willd.
12800592	Acalypha laxiflora Müll. Arg.
50171175	Acalypha leicesterfieldiensis Radcl.-Sm. & Govaerts
12800594	Acalypha leptorhachis Müll. Arg.
12802428	Acalypha macrostachya Jacq.
50171178	Acalypha maestrensis Urb.
12807899	Acalypha membranacea A. Rich.
50171181	Acalypha mogotensis Urb.
50171188	Acalypha nana (Müll. Arg.) Griseb. ex Hutch.
12804812	Acalypha ostryifolia Riddell ex J.M. Coult.
12802239	Acalypha pendula C. Wright ex Griseb.
12804920	Acalypha poiretii Spreng.
12800630	Acalypha portoricensis Müll. Arg.
50171199	Acalypha pruinosa Urb.
50171201	Acalypha pycnantha Urb.
12802241	Acalypha pygmaea Griseb.
50171205	Acalypha rupestris Urb.
12805984	Acalypha scabrosa Sw.
12804974	Acalypha setosa A. Rich.
50235859	Acalypha tomentosa Blanco
12800659	Acalypha villosa Jacq.
50171233	Acalypha vincentina Urb.
50171234	Acalypha virgata L.
5105704	Acanthocereus tetragonus (L.) Hummelinck
50155356	Acanthodesmos distichus C.D. Adams & du Quesnay
2717091	Acanthospermum australe (Loefl.) Kuntze
2701604	Acanthospermum hispidum DC.
2711325	Acanthospermum humile (Sw.) DC.
25500004	Achlaena piptostachya Griseb.
100476082	Acianthera alphonsii Kutz
100141019	Acianthera angustifolia (Lindl.) Luer
100472192	Acianthera doucettei Kutz
50212047	Acianthera pubescens (Lindl.) Pridgeon & M.W. Chase
50212062	Acianthera rubroviridis (Lindl.) Pridgeon & M.W. Chase
100449074	Acianthera stenzelii Luer
100375605	Acianthera testifolia (Sw.) Solano
50074000	Acidocroton acunae Borhidi & O. Muñiz
12807806	Acidocroton adelioides Griseb.
50168841	Acidocroton ekmanii Urb.
50168843	Acidocroton horridus Urb. & Ekman
50168844	Acidocroton litoralis Urb. & Ekman
50168845	Acidocroton lobulatus Urb.
50168846	Acidocroton montanus Urb. & Ekman
50168847	Acidocroton oligostemon Urb.
50074001	Acidocroton trichophyllus Urb.
50168848	Acidocroton verrucosus Urb.
50168850	Acidoton haitiensis Alain
50168852	Acidoton lanceolatus Urb. & Ekman
50168853	Acidoton microphyllus Urb.
12805410	Acidoton urens Sw.
50168855	Acidoton variifolius Urb. & Ekman
20300287	Aciotis acuminifolia (Mart. ex DC.) Triana
20300311	Acisanthera limnobios (DC.) Triana
20300008	Acisanthera quadrata Pers.
2717123	Acmella brachyglossa Cass.
2717131	Acmella iodiscaea (A.H. Moore) R.K. Jansen
2717112	Acmella radicans (Jacq.) R.K. Jansen
2717102	Acmella uliginosa (Sw.) Cass.
29602575	Acnistus arborescens (L.) Schltdl.
2400810	Acoelorraphe wrightii (Griseb. & H. Wendl.) H. Wendl. ex Becc.
25500095	Acroceras zizanioides (Kunth) Dandy
2401428	Acrocomia aculeata (Jacq.) Lodd. ex Mart.
50238470	Acrocomia crispa (Kunth) C.F. Baker ex Becc.
2400862	Acrocomia media O.F. Cook
26600001	Acrostichum aureum L.
26602571	Acrostichum danaeifolium Langsd. & Fisch.
26606065	Acrostichum sorbifolium L.
27910345	Acrosynanthus jamaicensis R.A. Howard & Proctor
27910346	Acrosynanthus latifolius Standl.
27900254	Acrosynanthus ovatus Urb.
27910349	Acrosynanthus parvifolius Britton
27910350	Acrosynanthus revolutus Urb.
27910351	Acrosynanthus trachyphyllus Standl.
26602855	Actinostachys pennula (Sw.) Hook.
12805854	Actinostemon brachypodus (Griseb.) Urb.
12805853	Actinostemon caribaeus Griseb.
100141450	Acunaeanthus tinifolius (Griseb.) Borhidi
12805409	Adelia ricinella L.
20300009	Adelobotrys adscendens (Sw.) Triana
50299640	Adelphia hiraea (Gaertn.) W.R. Anderson
19200024	Adenaria floribunda Kunth
50063950	Adenoa cubensis (Britton & P. Wilson) Arbo
3700053	Adenocalymma inundatum Mart. ex DC.
2712093	Adenocritonia adamsii R.M. King & H. Rob.
26625326	Adenoderris glandulosa (C. Presl) J. Sm.
2701636	Adenostemma brasilianum (Pers.) Cass.
2709238	Adenostemma verbesina (L.) Kuntze
100386121	Adiantopsis asplenioides Maxon
26602655	Adiantopsis paupercula (Kunze) Fée
26622364	Adiantopsis pedata (Hook.) T. Moore
100001420	Adiantopsis pentagona M.S. Barker & Hickey
26606577	Adiantopsis radiata (L.) Fée
26622554	Adiantopsis reesii (Jenman) C. Chr.
50203666	Adiantopsis rupicola Maxon
100001421	Adiantopsis vincentii M.S. Barker & Hickey
26602672	Adiantum concinnum Humb. & Bonpl. ex Willd.
26621467	Adiantum crenatum Willd.
26602673	Adiantum cristatum L.
100450780	Adiantum cuneatiforme C. Chr.
26622560	Adiantum deltoideum Sw.
26622584	Adiantum dissimulatum Jenman
26602674	Adiantum fragile Sw.
26606770	Adiantum fructuosum Poepp. ex Spreng.
26606783	Adiantum humile Kunze
26622593	Adiantum intermedium Sw.
26622572	Adiantum kunzeanum C. Presl
26602677	Adiantum latifolium Lam.
100450811	Adiantum laxum Kunze
26606722	Adiantum lucidum (Cav.) Sw.
26602678	Adiantum macrophyllum Sw.
26622583	Adiantum nigrescens Fée
50210612	Adiantum oblique-truncatum Fée
26602680	Adiantum obliquum Willd.
26606714	Adiantum peruvianum Klotzsch
26602683	Adiantum petiolatum Desv.
26608629	Adiantum phyllitidis J. Sm.
26604315	Adiantum poiretii Wikstr.
26607573	Adiantum polyphyllum Willd.
26602684	Adiantum pulverulentum L.
26622565	Adiantum pumilum Sw.
26615257	Adiantum pyramidale (L.) Willd.
26602685	Adiantum raddianum C. Presl
26602686	Adiantum rigidulum Mett. ex Kuhn
50156580	Adiantum sericeum D.C. Eaton
26606768	Adiantum serratodentatum Humb. & Bonpl. ex Willd.
26602687	Adiantum tenerum Sw.
