NameID	Name
19601267	Abutilon giganteum (Jacq.) Sweet
19602420	Abutilon pachecoanum Standl. & Steyerm.
19601268	Abutilon purpusii Standl.
40003039	Abutilon Mill.
13000064	Acacia chiapensis Saff.
13023780	Acacia cochliacantha Humb. & Bonpl. ex Willd.
13000067	Acacia collinsii Saff.
13023804	Acacia cornigera (L.) Willd.
13023942	Acacia farnesiana (L.) Willd.
13071162	Acacia farnesiana var. farnesiana 
13071163	Acacia farnesiana var. guanacastensis H.D. Clarke, Seigler & Ebinger
13000124	Acacia gentlei Standl.
13000128	Acacia globulifera Saff.
13004227	Acacia riparia Kunth
40003076	Acacia Mill.
12800611	Acalypha muelleriana Urb.
22103016	Acca sellowiana (O. Berg) Burret
40030226	Acca O. Berg
24800173	Achatocarpus nigricans Triana
40030394	Achatocarpus Triana
20302604	Adelobotrys panamensis Almeda
40032199	Adelobotrys DC.
19200024	Adenaria floribunda Kunth
40032322	Adenaria Kunth
50135905	Adonidia merrillii (Becc.) Becc.
13007621	Aeschynomene nicaraguensis (Oerst.) Standl.
40033589	Aeschynomene L.
12303210	Agarista mexicana (Hemsl.) Judd
12303427	Agarista mexicana var. mexicana 
12303211	Agarista mexicana var. pinetorum (Standl. & L.O. Williams) Judd
40034027	Agarista D. Don ex G. Don
2712325	Ageratina reticulifera (Standl. & L.O. Williams) R.M. King & H.Rob.
100367232	Alibertia edulis var. premontana (C.M. Taylor) Delprete & C.H. Perss.
40009754	Alibertia A. Rich. ex DC.
40010085	Allenanthus Standl.
3600081	Alnus acuminata Kunth
40010579	Alnus Mill.
40010957	Alstonia R. Br.
2712498	Amolinia heydeana (B.L. Rob.) R.M. King & H.Rob.
40012187	Amolinia R.M. King & H.Rob.
50313381	Amphipterygium simplicifolium (Standl.) Cuev.-Fig.
28100394	Amyris elemifera L.
28100583	Amyris pinnata Kunth
28101291	Amyris rhomboidea Standl.
28101292	Amyris sylvatica Jacq.
28100063	Amyris vestita Lundell
40012948	Amyris P. Browne
50326119	Andinocleome magnifica (Briq.) Iltis & Cochrane
50297861	Andinocleome Iltis & Cochrane
40013896	Andira Lam.
50064102	Angostura granulosa (Kallunki) Kallunki
100401542	Aphelandra merelloae T.F. Daniel & McPherson
27905961	Appunia guatemalensis Donn. Sm.
27900356	Appunia seibertii Standl.
40018073	Appunia Hook. f.
27911001	Arachnothryx aspera (Standl.) Borhidi
