NameID	Name
13076079	Abarema adenophora (Ducke) Barneby & J.W. Grimes
13071729	Abarema barbouriana (Standl.) Barneby & J.W. Grimes
13076345	Abarema idiopoda (S.F. Blake) Barneby & J.W. Grimes
50052106	Abarema macradenia (Pittier) Barneby & J.W. Grimes
50095983	Abarema oxyphyllidia Barneby & J.W. Grimes
50076989	Abarema racemiflora (Donn. Sm.) Barneby & J.W. Grimes
50095868	Abarema zolleriana (Standl. & Steyerm.) Barneby & J.W. Grimes
40002736	Abarema Pittier
24900640	Abies guatemalensis Rehder
40002848	Abies Mill.
13000010	Acacia acatlensis Benth.
13001964	Acacia allenii D.H. Janzen
50161335	Acacia aristeguietana L. Cárdenas
50309395	Acacia californica subsp. pringlei (Rose) L. Rico
50282465	Acacia cedilloi L. Rico
13000062	Acacia centralis (Britton & Rose) Lundell
13000064	Acacia chiapensis Saff.
13023780	Acacia cochliacantha Humb. & Bonpl. ex Willd.
13000067	Acacia collinsii Saff.
13000073	Acacia cookii Saff.
13023804	Acacia cornigera (L.) Willd.
13000094	Acacia dolichostachya S.F. Blake
13023942	Acacia farnesiana (L.) Willd.
13071162	Acacia farnesiana var. farnesiana 
13071163	Acacia farnesiana var. guanacastensis H.D. Clarke, Seigler & Ebinger
13000123	Acacia gaumeri S.F. Blake
13000124	Acacia gentlei Standl.
13000128	Acacia globulifera Saff.
13000145	Acacia hindsii Benth.
13069226	Acacia janzenii Ebinger & Seigler
13004152	Acacia macracantha Humb. & Bonpl. ex Willd.
13024208	Acacia mangium Willd.
13037667	Acacia mayana Lundell
13004166	Acacia melanoceras Beurl.
13024220	Acacia melanoxylon R. Br.
13040593	Acacia mirandae L. Rico
13004178	Acacia multipinnata Ducke
13024334	Acacia pennatula (Schltdl. & Cham.) Benth.
13004202	Acacia picachensis Brandegee
13004210	Acacia polyphylla DC.
13004227	Acacia riparia Kunth
13001976	Acacia ruddiae D.H. Janzen
13024614	Acacia tenuifolia (L.) Willd.
13004280	Acacia usumacintensis Lundell
40003076	Acacia Mill.
13004299	Acaciella angustissima (Mill.) Britton & Rose
50278681	Acaciella angustissima var. angustissima 
40030129	Acanthosyris (Eichler) Griseb.
50103134	Acanthosyris annonagustata C. Ulloa & P. Jørg.
200001	Acer negundo L.
50293405	Acer saccharum subsp. skutchii (Rehder) A.E. Murray
200019	Acer skutchii Rehder
40030257	Acer L.
24800173	Achatocarpus nigricans Triana
40030394	Achatocarpus Triana
13046455	Acrocarpus fraxinifolius Arn.
50135905	Adonidia merrillii (Becc.) Becc.
33701090	Aegiphila anomala Pittier
33701092	Aegiphila costaricensis Moldenke
33701093	Aegiphila deppeana Steud.
33700887	Aegiphila elata Sw.
33701094	Aegiphila falcata Donn. Sm.
33702447	Aegiphila fasciculata Donn. Sm.
33700069	Aegiphila hastingsiana Moldenke
33701096	Aegiphila hoehnei Moldenke
33701065	Aegiphila integrifolia (Jacq.) B.D. Jacks.
33700073	Aegiphila laeta Kunth
33700889	Aegiphila martinicensis Jacq.
33700080	Aegiphila mollis Kunth
33702450	Aegiphila monstrosa Moldenke
33701101	Aegiphila odontophylla Donn. Sm.
33701102	Aegiphila panamensis Moldenke
33702451	Aegiphila skutchii Moldenke
33702453	Aegiphila valerii Standl.
33702489	Aegiphila wigandioides Lundell
40033232	Aegiphila Jacq.
28100016	Aegle marmelos (L.) Corrêa
40033244	Aegle Corrêa
40034027	Agarista D. Don ex G. Don
2712269	Ageratina ligustrina (DC.) R.M. King & H.Rob.
2712279	Ageratina mairetiana (DC.) R.M. King & H.Rob.
50235904	Agouticarpa curviflora (Dwyer) C.H. Perss.
50235939	Agouticarpa williamsii (Standl.) C.H. Perss.
50235810	Agouticarpa C.H. Perss.
13007698	Albizia adinocephala (Donn. Sm.) Britton & Rose ex Record
13007700	Albizia carbonaria Britton
50228004	Albizia duckeana L. Rico
13002026	Albizia guachapele (Kunth) Dugand
13025049	Albizia lebbeck (L.) Benth.
50007167	Albizia leucocalyx (Britton & Rose) L. Rico
13007716	Albizia niopoides (Spruce ex Benth.) Burkart
13007718	Albizia occidentalis Brandegee
50336937	Albizia occidentalis var. plurijuga (Standl.) L. Rico & Gale
50072427	Albizia pedicellaris (DC.) L. Rico
13025078	Albizia procera (Roxb.) Benth.
13047059	Albizia tomentosa (Micheli) Standl.
100468871	Albizia tomentosa var. purpusii (Britton & Rose) L. Rico & S.L. Gale
50290525	Albizia xerophytica J. Linares
40009232	Albizia Durazz.
12800004	Aleurites moluccanus (L.) Willd.
50275538	Alibertia atlantica (Dwyer) Delprete & C.H. Perss.
27900257	Alibertia bertierifolia K. Schum.
100367231	Alibertia dwyeri Delprete & C.H. Perss.
27900261	Alibertia edulis (Rich.) A. Rich.
50270864	Alibertia edulis var. edulis 
50275537	Alibertia patinoi (Cuatrec.) Delprete & C.H. Perss.
50068417	Alibertia utleyorum (Dwyer) C.M. Taylor
40009754	Alibertia A. Rich. ex DC.
27900293	Allenanthus erythrocarpus Standl.
27900294	Allenanthus hondurensis Standl.
50107226	Allenanthus hondurensis var. hondurensis 
27905958	Allenanthus hondurensis var. parvifolia L.O. Williams
40010085	Allenanthus Standl.
3600081	Alnus acuminata Kunth
40010579	Alnus Mill.
27903143	Alseis blackiana Hemsl.
50223467	Alseis costaricensis C.M. Taylor
27900298	Alseis hondurensis Standl.
27900307	Alseis yucatanensis Standl.
40010799	Alseis Schott
26606642	Alsophila cuspidata (Kunze) D.S. Conant
26606637	Alsophila erinacea (H. Karst.) D.S. Conant
26615236	Alsophila erinacea var. erinacea 
26608813	Alsophila firma (Baker) D.S. Conant
26613761	Alsophila imrayana (Hook.) D.S. Conant
26616728	Alsophila imrayana var. basilaris (Christ) Lellinger
26616733	Alsophila polystichoides Christ
26606996	Alsophila salvinii Hook.
26616736	Alsophila tryoniana (G.J. Gastony) D.S. Conant
40010938	Alsophila R. Br.
1803617	Alstonia longifolia (A. DC.) Pichon
40010957	Alstonia R. Br.
1000001	Alzatea verticillata Ruiz & Pav.
1000002	Alzatea verticillata subsp. amplifolia S.A. Graham
40011178	Alzatea Ruiz & Pav.
100386207	Amaioua glomerulata (Lam. ex Poir.) Delprete & C.H. Perss.
