NameID	Name
40002736	Abarema Pittier
19601203	Abelmoschus manihot (L.) Medik.
40002827	Abelmoschus Medik.
19600191	Abutilon andrieuxii Hemsl.
19602498	Abutilon bracteosum Fryxell
19601320	Abutilon brenesii Standl.
19600213	Abutilon divaricatum Turcz.
50137256	Abutilon divaricatum var. divaricatum 
50137257	Abutilon divaricatum var. hintonii Fryxell
19601267	Abutilon giganteum (Jacq.) Sweet
19601254	Abutilon haenkeanum C. Presl
19602420	Abutilon pachecoanum Standl. & Steyerm.
19601257	Abutilon percaudatum Hochr.
19601233	Abutilon permolle (Willd.) Sweet
19601268	Abutilon purpusii Standl.
19600011	Abutilon striatum Dicks. ex Lindl.
19602422	Abutilon tridens Standl. & Steyerm.
19601242	Abutilon trisulcatum (Jacq.) Urb.
19602978	Abutilon vexillarium E. Morren
40003039	Abutilon Mill.
50282465	Acacia cedilloi L. Rico
13000064	Acacia chiapensis Saff.
13023780	Acacia cochliacantha Humb. & Bonpl. ex Willd.
13000067	Acacia collinsii Saff.
13023804	Acacia cornigera (L.) Willd.
13023942	Acacia farnesiana (L.) Willd.
13071162	Acacia farnesiana var. farnesiana 
13071163	Acacia farnesiana var. guanacastensis H.D. Clarke, Seigler & Ebinger
13000123	Acacia gaumeri S.F. Blake
13000124	Acacia gentlei Standl.
13000128	Acacia globulifera Saff.
13000143	Acacia hayesii Benth.
13000145	Acacia hindsii Benth.
13069226	Acacia janzenii Ebinger & Seigler
13037667	Acacia mayana Lundell
13004166	Acacia melanoceras Beurl.
13004202	Acacia picachensis Brandegee
13004210	Acacia polyphylla DC.
13004227	Acacia riparia Kunth
13024614	Acacia tenuifolia (L.) Willd.
40003076	Acacia Mill.
13004299	Acaciella angustissima (Mill.) Britton & Rose
50278681	Acaciella angustissima var. angustissima 
50278680	Acaciella angustissima var. filicioides (Cav.) L. Rico
13004350	Acaciella villosa (Sw.) Britton & Rose
12800112	Acalypha hispida Burm. f.
12800611	Acalypha muelleriana Urb.
12805179	Acalypha oblancifolia Lundell
12800643	Acalypha schlechtendaliana Müll. Arg.
12804983	Acalypha subviscida S. Watson
12800116	Acalypha wilkesiana Müll. Arg.
40003111	Acalypha L.
40030129	Acanthosyris (Eichler) Griseb.
22103016	Acca sellowiana (O. Berg) Burret
40030226	Acca O. Berg
24800173	Achatocarpus nigricans Triana
40030394	Achatocarpus Triana
40031164	Acourtia D. Don
20302604	Adelobotrys panamensis Almeda
40032199	Adelobotrys DC.
19200024	Adenaria floribunda Kunth
40032322	Adenaria Kunth
50138559	Adenocritonia heathiae (B.L. Turner) H.Rob.
50187266	Adenocritonia steyermarkii H.Rob.
40032449	Adenocritonia R.M. King & H.Rob.
2734476	Adenophyllum appendiculatum (Lag.) Strother
40032628	Adenophyllum Pers.
33701090	Aegiphila anomala Pittier
100367910	Aegiphila brenesii Hammel
33701091	Aegiphila cephalophora Standl.
33701092	Aegiphila costaricensis Moldenke
33701093	Aegiphila deppeana Steud.
33700887	Aegiphila elata Sw.
33701094	Aegiphila falcata Donn. Sm.
33700060	Aegiphila filipes Mart. & Schauer
