NameID	Name
13023576	Abrus precatorius L.
13000143	Acacia hayesii Benth.
40003076	Acacia Mill.
20300009	Adelobotrys adscendens (Sw.) Triana
40032199	Adelobotrys DC.
100367910	Aegiphila brenesii Hammel
33701091	Aegiphila cephalophora Standl.
33701093	Aegiphila deppeana Steud.
33700887	Aegiphila elata Sw.
33701094	Aegiphila falcata Donn. Sm.
33701095	Aegiphila hirsutissima Moldenke
33701096	Aegiphila hoehnei Moldenke
33701102	Aegiphila panamensis Moldenke
33703518	Aegiphila quararibeana Rueda
40033232	Aegiphila Jacq.
40009985	Allamanda L.
1800065	Allomarkgrafia brenesiana Woodson
1806254	Allomarkgrafia campanulata (Markgr.) J.F. Morales
50104123	Allomarkgrafia insignis J.F. Morales
1800066	Allomarkgrafia plumeriiflora Woodson
40010328	Allomarkgrafia Woodson
34000411	Ampelocissus acapulcensis (Kunth) Planch.
34000412	Ampelocissus erdvendbergiana Planch.
50152983	Ampelocissus javalensis (Seem.) W.D. Stevens & A. Pool
50233557	Ampelocissus mesoamericana Lombardi
40012330	Ampelocissus Planch.
50195525	Ampelopsis denudata Planch.
40012372	Ampelopsis Michx.
100147275	Amphilophium laxiflorum (DC.) L.G. Lohmann
1800751	Anechites nerium (Aubl.) Urb.
40014257	Anechites Griseb.
15600193	Anthodon decussatus Ruiz & Pav.
40016334	Anthodon Ruiz & Pav.
2726159	Archibaccharis flexilis (S.F. Blake) S.F. Blake
2735778	Archibaccharis jacksonii S.D. Sundb.
2704508	Archibaccharis lucentifolia L.O. Williams
2726163	Archibaccharis salmeoides (S.F. Blake) S.F. Blake
2711340	Archibaccharis schiedeana (Benth.) J.D. Jacks.
2735784	Archibaccharis taeniotricha (S.F. Blake) G.L. Nesom
40018669	Archibaccharis Heering
8500613	Argyreia nervosa (Burm. f.) Bojer
40019201	Argyreia Lour.
2500028	Aristolochia anguicida Jacq.
50217228	Aristolochia bullata Pfeifer
2500198	Aristolochia constricta Griseb.
2500199	Aristolochia cordiflora Mutis ex Kunth
2500055	Aristolochia cruenta Barringer
2500157	Aristolochia grandiflora Sw.
2500200	Aristolochia inflata Kunth
2500219	Aristolochia labiata Willd.
2500406	Aristolochia leuconeura Linden
2500319	Aristolochia maxima Jacq.
2500227	Aristolochia odoratissima L.
2500106	Aristolochia ovalifolia Duch.
50217541	Aristolochia paracleta Pfeifer
2500164	Aristolochia ringens Vahl
2500475	Aristolochia stevensii Barringer
2500202	Aristolochia tonduzii O.C. Schmidt
2500139	Aristolochia trilobata L.
40019513	Aristolochia L.
13027176	Barbieria pinnata (Pers.) Baill.
40024761	Barbieria DC.
13027460	Bauhinia variegata L.
1802818	Beaumontia grandiflora Wall.
40025750	Beaumontia Wall.
27500208	Berchemia scandens (Hill) K. Koch
40026678	Berchemia Neck. ex DC.
2726196	Bidens holwayi Sherff & S.F. Blake
40027257	Bidens L.
20303367	Blakea fuchsioides Almeda
40027946	Blakea P. Browne
1200687	Bomarea acutifolia (Link & Otto) Herb.
8503282	Bonamia douglasii D.F. Austin
8503284	Bonamia mexicana J.A. McDonald
8500774	Bonamia sulphurea (Brandegee) Myint & D.B. Ward
8500094	Bonamia trichantha Hallier f.
40029192	Bonamia Thouars
22500032	Bougainvillea glabra Choisy
22500248	Bougainvillea spectabilis Willd.
40030049	Bougainvillea Comm. ex Juss.
30401404	Byttneria catalpifolia Jacq.
50278838	Byttneria osaënsis Cristóbal
40033843	Byttneria Loefl.
2705118	Calea prunifolia Kunth
2726211	Calea trichotoma Donn. Sm.
2711356	Calea urticifolia (Mill.) DC.
40034645	Calea L.
13027816	Canavalia rosea (Sw.) DC.
50216080	Canavalia Adans.
50313776	Capparicordis yunckeri (Standl.) Iltis & Cornejo
9201083	Cayaponia attenuata (Hook. & Arn.) Cogn.
9200591	Cayaponia buraeavii Cogn.
9200093	Cayaponia cruegeri (Naudin) Cogn.
9200593	Cayaponia glandulosa (Poepp. & Endl.) Cogn.
9200105	Cayaponia leucosticta Standl.
50066505	Cayaponia longiloba A.K. Monro
9200108	Cayaponia macrocalyx Harms
9200595	Cayaponia micrantha Cogn.
9201084	Cayaponia racemosa (Mill.) Cogn.
