State	Abrev
Aguascalientes 	AGS
Baja California 	BCN
Baja California Sur 	BCS
Campeche 	CAM
Chiapas 	CHIS
Chihuahua 	CHIH
Coahuila 	COAH
Colima 	COL
Ciudad de México 	CDMX
Durango 	DGO
Guanajuato 	GTO
Guerrero 	GRO
Hidalgo 	HGO
Jalisco 	JAL
México 	MEX
Michoacán 	MICH
Morelos 	MOR
Nayarit 	NAY
Nuevo León 	NLE
Oaxaca 	OAX
Puebla 	PUE
Querétaro 	QRO
Quintana Roo 	QROO
San Luis Potosí 	SLP
Sinaloa 	SIN
Sonora 	SON
Tabasco 	TAB
Tamaulipas 	TAMS
Tlaxcala 	TLAX
Veracruz 	VER
Yucatán 	YUC
Zacatecas 	ZAC
