binomial	stateabr
blank	ZZZ
Asplenium exiguum	AGS
Asplenium fibrillosum	AGS
Asplenium gentryi	AGS
Asplenium hallbergii	AGS
Asplenium monanthes	AGS
Asplenium palmeri	AGS
Asplenium praemorsum	AGS
Cystopteris fragilis	AGS
Pteridium aquilinum	AGS
Dryopteris cinnamomea	AGS
Dryopteris rossii	AGS
Elaphoglossum gratum	AGS
Elaphoglossum rzedowskii	AGS
Equisetum hyemale	AGS
Isoetes montezumae	AGS
Marsilea ancylopoda	AGS
Marsilea mollis	AGS
Marsilea vestita	AGS
Botrychium schaffneri	AGS
Ophioglossum nudicaule	AGS
Osmunda regalis	AGS
Phlebodium areolatum	AGS
Pleopeltis madrensis	AGS
Pleopeltis polylepis	AGS
Pleopeltis thyssanolepis	AGS
Polypodium guttatum	AGS
Polypodium martensii	AGS
Polypodium polypodioides	AGS
Polypodium subpetiolatum	AGS
Adiantum andicola	AGS
Adiantum braunii	AGS
Adiantum capillus-veneris	AGS
Adiantum concinnum	AGS
Adiantum poiretii	AGS
Anogramma leptophylla	AGS
Argyrochosma formosa	AGS
Argyrochosma incana	AGS
Argyrochosma pallens	AGS
Astrolepis cochisensis	AGS
Astrolepis integerrima	AGS
Astrolepis laevis	AGS
Astrolepis sinuata	AGS
Bommeria hispida	AGS
Bommeria pedata	AGS
Cheilanthes brachypus	AGS
Cheilanthes farinosa	AGS
Cheilanthes lozanoi	AGS
Cheilanthes pyramidalis	AGS
Cheiloplecton rigidum	AGS
Gaga angustifolia	AGS
Gaga kaulfussii	AGS
Gaga marginata	AGS
Mildella fallax	AGS
Myriopteris allosuroides	AGS
Myriopteris aurea	AGS
Myriopteris cucullans	AGS
Myriopteris lendigera	AGS
Myriopteris lindheimeri	AGS
Myriopteris mexicana	AGS
Myriopteris myriophylla	AGS
Myriopteris notholaenoides	AGS
Myriopteris rufa	AGS
Myriopteris windhamii	AGS
Notholaena aschenborniana	AGS
Notholaena aurantiaca	AGS
Notholaena candida	AGS
Notholaena limitanea	AGS
Notholaena schaffneri	AGS
Pellaea cordifolia	AGS
Pellaea ovata	AGS
Pellaea sagittata	AGS
Pellaea ternifolia	AGS
Azolla microphylla	AGS
Selaginella delicatissima	AGS
Selaginella lepidophylla	AGS
Selaginella pallescens	AGS
Selaginella rupincola	AGS
Thelypteris puberula	AGS
Thelypteris resinifera	AGS
Woodsia mexicana	AGS
Woodsia mollis	AGS
Cupressus arizonica	AGS
Cupressus lusitanica	AGS
Juniperus deppeana	AGS
Juniperus durangensis	AGS
Juniperus flaccida	AGS
Juniperus martinezii	AGS
Juniperus monticola	AGS
Taxodium mucronatum	AGS
Ephedra antisyphilitica	AGS
Ephedra compacta	AGS
Ephedra pedunculata	AGS
Abies religiosa	AGS
Pinus ayacahuite	AGS
Pinus cembroides	AGS
Pinus devoniana	AGS
Pinus durangensis	AGS
Pinus engelmannii	AGS
Pinus hartwegii	AGS
Pinus leiophylla	AGS
Pinus lumholtzii	AGS
Pinus oocarpa	AGS
Pinus teocote	AGS
Podocarpus matudae	AGS
Anisacanthus puberulus	AGS
Carlowrightia arizonica	AGS
Carlowrightia neesiana	AGS
Dicliptera peduncularis	AGS
Dyschoriste microphylla	AGS
Dyschoriste schiedeana	AGS
Dyschoriste xylopoda	AGS
Elytraria imbricata	AGS
Henrya insularis	AGS
Justicia candicans	AGS
Justicia runyonii	AGS
Ruellia hookeriana	AGS
Ruellia lactea	AGS
Ruellia malacosperma	AGS
Ruellia nudiflora	AGS
Ruellia speciosa	AGS
Stenandrium dulce	AGS
Tetramerium nervosum	AGS
Saurauia serrata	AGS
Sambucus nigra	AGS
Trianthema portulacastrum	AGS
Sagittaria demersa	AGS
Sagittaria lancifolia	AGS
Sagittaria longiloba	AGS
Alternanthera pungens	AGS
Amaranthus hybridus	AGS
Amaranthus palmeri	AGS
Amaranthus polygonoides	AGS
Atriplex canescens	AGS
Atriplex muricata	AGS
Chenopodium fremontii	AGS
Chenopodium nuttalliae	AGS
Dysphania ambrosioides	AGS
Dysphania graveolens	AGS
Froelichia interrupta	AGS
Gomphrena nitida	AGS
Gomphrena serrata	AGS
Guilleminea densa	AGS
Iresine calea	AGS
Iresine diffusa	AGS
Iresine grandis	AGS
Iresine schaffneri	AGS
Allium glandulosum	AGS
Allium kunthii	AGS
Habranthus concolor	AGS
Nothoscordum bivalve	AGS
Sprekelia formosissima	AGS
Zephyranthes fosteri	AGS
Talinopsis frutescens	AGS
Amphipterygium adstringens	AGS
Amphipterygium molle	AGS
Pistacia mexicana	AGS
Rhus microphylla	AGS
Rhus trilobata	AGS
Toxicodendron radicans	AGS
Angelica nelsonii	AGS
Cyclospermum leptophyllum	AGS
Eryngium carlinae	AGS
Eryngium cymosum	AGS
Eryngium heterophyllum	AGS
Eryngium pectinatum	AGS
Lilaeopsis schaffneriana	AGS
Prionosciadium thapsoides	AGS
Prionosciadium watsoni	AGS
Asclepias angustifolia	AGS
Asclepias brachystephana	AGS
Asclepias curassavica	AGS
Asclepias glaucescens	AGS
Asclepias jaliscana	AGS
Asclepias linaria	AGS
Asclepias mcvaughii	AGS
Asclepias notha	AGS
Asclepias oenotheroides	AGS
Asclepias otarioides	AGS
Asclepias puberula	AGS
Asclepias quinquedentata	AGS
Asclepias scaposa	AGS
Asclepias schaffneri	AGS
Asclepias subverticillata	AGS
Cascabela thevetioides	AGS
Cynanchum ligulatum	AGS
Dictyanthus macvaughianus	AGS
Dictyanthus parviflorus	AGS
Dictyanthus pavonii	AGS
Funastrum crispum	AGS
Funastrum elegans	AGS
Funastrum pannosum	AGS
Gonolobus uniflorus	AGS
Mandevilla holosericea	AGS
Matelea pilosa	AGS
Plumeria obtusa	AGS
Plumeria rubra	AGS
Polystemma guatemalense	AGS
Seutera angustifolia	AGS
Telosiphonia hypoleuca	AGS
Trachelospermum difforme	AGS
Pilostyles thurberi	AGS
Lemna aequinoctialis	AGS
Lemna gibba	AGS
Lemna minuta	AGS
Lemna obscura	AGS
Wolffia brasiliensis	AGS
Wolffia columbiana	AGS
Xanthosoma robustum	AGS
Aralia humilis	AGS
Hydrocotyle ranunculoides	AGS
Hydrocotyle verticillata	AGS
Aristolochia brevipes	AGS
Aristolochia versabilifolia	AGS
Agave angustifolia	AGS
Agave filifera	AGS
Agave havardiana	AGS
Agave lechuguilla	AGS
Agave parrasana	AGS
Agave parryi	AGS
Agave salmiana	AGS
Agave schidigera	AGS
Agave striata	AGS
Agave vilmoriniana	AGS
Bessera elegans	AGS
Dasylirion acrotrichum	AGS
Dasylirion graminifolium	AGS
Dasylirion occidentalis	AGS
Echeandia durangensis	AGS
Echeandia flavescens	AGS
Echeandia flexuosa	AGS
Echeandia mexicana	AGS
Echeandia scabrella	AGS
Hemiphylacus latifolius	AGS
Hemiphylacus novogalicianus	AGS
Manfreda guttata	AGS
Manfreda scabra	AGS
Milla biflora	AGS
Nolina juncea	AGS
Nolina parviflora	AGS
Polianthes geminiflora	AGS
Polianthes pringlei	AGS
Prochnyanthes mexicana	AGS
Yucca decipiens	AGS
Yucca filifera	AGS
Yucca treculeana	AGS
Acmella repens	AGS
Acourtia dissiticeps	AGS
Acourtia dugesii	AGS
Acourtia fruticosa	AGS
Acourtia glomeriflora	AGS
Acourtia mexicana	AGS
Acourtia nana	AGS
Acourtia parryi	AGS
Acourtia pulchella	AGS
Acourtia simulata	AGS
Acourtia turbinata	AGS
Acourtia wislizeni	AGS
Acourtia wrightii	AGS
Acourtia zacatecana	AGS
Achillea millefolium	AGS
Adenophyllum cancellatum	AGS
Adenophyllum porophyllum	AGS
Adenophyllum pulcherrimum	AGS
Ageratina adenophora	AGS
Ageratina areolaris	AGS
Ageratina blepharilepis	AGS
Ageratina brevipes	AGS
Ageratina calaminthifolia	AGS
Ageratina calophylla	AGS
Ageratina campyloclada	AGS
Ageratina espinosarum	AGS
