NameID	Name
23505914	Aa paleacea (Kunth) Rchb. f.
40000248	Aa Rchb. f.
19601060	Abelmoschus esculentus (L.) Moench
19601210	Abelmoschus moschatus Medik.
40002827	Abelmoschus Medik.
50256836	Aberrantia aberrans (Luer) Luer
50256835	Aberrantia Luer
50000199	Abildgaardia mexicana (Palla) Kral
9902300	Abildgaardia ovata (Burm. f.) Kral
40002866	Abildgaardia Vahl
19601223	Abutilon hirtum (Lam.) Sweet
19600012	Abutilon theophrasti Medik.
19601242	Abutilon trisulcatum (Jacq.) Urb.
40003039	Abutilon Mill.
27800401	Acaena cylindristachya Ruiz & Pav.
40003094	Acaena Mutis ex L.
12800572	Acalypha flagellata Millsp.
100140874	Acalypha gentlei Atha
12804812	Acalypha ostryifolia Riddell ex J.M. Coult.
40003111	Acalypha L.
2701604	Acanthospermum hispidum DC.
2711325	Acanthospermum humile (Sw.) DC.
40030090	Acanthospermum Schrank
50112872	Achetaria scutellarioides (Benth.) Kuntze
40030400	Achetaria Cham. & Schltdl.
2700015	Achillea millefolium L.
40030407	Achillea L.
50071571	Achimenes admirabilis Wiehler
14001027	Achimenes cettoana H.E. Moore
14000063	Achimenes erecta (Lam.) H.P. Fuchs
14000086	Achimenes grandiflora (Schltdl.) DC.
14000064	Achimenes longiflora DC.
14000092	Achimenes pedunculata Benth.
40030446	Achimenes Pers.
1100001	Achyranthes aspera L.
40030605	Achyranthes L.
40030623	Achyrocline (Less.) DC.
2726176	Achyrocline deflexa B.L. Rob. & Greenm.
2727079	Achyrocline vargasiana DC.
100366858	Achyropappus depauperatus (S.F. Blake) B.L. Turner
40030672	Achyropappus Kunth
25520912	Aciachne acicularis Lægaard
40030714	Aciachne Benth.
50307132	Acianthera angustifolia (Lindl.) Carnevali & G.A. Romero
50210009	Acianthera angustisepala (Ames & Correll) Pridgeon & M.W. Chase
50210035	Acianthera circumplexa (Lindl.) Pridgeon & M.W. Chase
50210038	Acianthera cogniauxiana (Schltr.) Pridgeon & M.W. Chase
50256850	Acianthera crassilabia (Ames & C. Schweinf.) Luer
50210050	Acianthera decipiens (Ames & C. Schweinf.) Pridgeon & M.W. Chase
50210053	Acianthera ellipsophylla (L.O. Williams) Pridgeon & M.W. Chase
50210060	Acianthera geminicaulina (Ames) Pridgeon & M.W. Chase
50212001	Acianthera hondurensis (Ames) Pridgeon & M.W. Chase
50256876	Acianthera juxtaposita (Luer) Luer
50212007	Acianthera lanceana (Lodd.) Pridgeon & M.W. Chase
50256879	Acianthera lojae (Schltr.) Luer
100279508	Acianthera martinezii Luer
50212030	Acianthera obscura (A. Rich. & Galeotti) Pridgeon & M.W. Chase
50212038	Acianthera pantasmi (Rchb. f.) Pridgeon & M.W. Chase
50212047	Acianthera pubescens (Lindl.) Pridgeon & M.W. Chase
50212068	Acianthera sicaria (Lindl.) Pridgeon & M.W. Chase
50212074	Acianthera tikalensis (Correll & C. Schweinf.) Pridgeon & M.W. Chase
