"","x"
"1","Sisyrinchium tenuifolium"
"2","Sisyrinchium tolucense"
"3","Tigridia augusta"
"4","Tigridia dugesii"
"5","Tigridia meleagris"
"6","Tigridia multiflora"
"7","Juncus acuminatus"
"8","Juncus dichotomus"
"9","Juncus ebracteatus"
"10","Juncus effusus"
"11","Juncus microcephalus"
"12","Juncus tenuis"
"13","Triglochin scilloides"
"14","Koeberlinia spinosa"
"15","Krameria bicolor"
"16","Krameria erecta"
"17","Krameria lanceolata"
"18","Krameria ramosissima"
"19","Krameria secundiflora"
"20","Condea albida"
"21","Cunila lythrifolia"
"22","Cunila pycnantha"
"23","Hedeoma costata"
"24","Hedeoma nana"
"25","Hedeoma oblongifolia"
"26","Hedeoma patrina"
"27","Hedeoma piperita"
"28","Hedeoma rzedowskii"
"29","Hyptis rhytidea"
"30","Mesosphaerum urticoides"
"31","Ocimum basilicum"
"32","Salvia agnes"
"33","Salvia axillaris"
"34","Salvia ballotiflora"
"35","Salvia coccinea"
"36","Salvia elegans"
"37","Salvia filipes"
"38","Senegalia interior"
"39","Senna bauhinoides"
"40","Senna crotalarioides"
"41","Senna hirsuta"
"42","Senna occidentalis"
"43","Senna pallida"
"44","Senna septemtrionalis"
"45","Senna uniflora"
"46","Tephrosia foliolosa"
"47","Tephrosia leucantha"
"48","Tephrosia nicaraguensis"
"49","Trifolium amabile"
"50","Vachellia bravoensis"
"51","Vachellia campechiana"
"52","Vachellia constricta"
"53","Vachellia farnesiana"
"54","Vachellia pennatula"
"55","Vachellia schaffneri"
"56","Vicia pulchella"
"57","Vigna luteola"
"58","Zapoteca media"
"59","Zornia diphylla"
"60","Zornia reticulata"
"61","Zornia thymifolia"
"62","Quercus aristata"
"63","Quercus castanea"
"64","Quercus coccolobifolia"
"65","Quercus crassifolia"
"66","Quercus crassipes"
"67","Quercus chihuahuensis"
"68","Quercus deserticola"
"69","Quercus eduardi"
"70","Quercus fulva"
"71","Quercus gentryi"
"72","Quercus grisea"
"73","Quercus laeta"
"74","Quercus laurina"
"75","Quercus magnoliifolia"
"76","Quercus martinezii"
"77","Quercus microphylla"
"78","Quercus obtusata"
"79","Quercus potosina"
"80","Quercus resinosa"
"81","Quercus rugosa"
"82","Quercus sideroxyla"
"83","Quercus uxoris"
"84","Quercus viminea"
"85","Garrya laurifolia"
"86","Garrya ovata"
"87","Gentiana porphyrio"
"88","Gentiana spathacea"
"89","Gentiana superba"
"90","Gentianella amarella"
"91","Halenia brevicornis"
"92","Zeltnera nudicaule"
"93","Zeltnera quitensis"
"94","Geranium deltoideum"
"95","Geranium mexicanum"
"96","Geranium seemannii"
"97","Heliotropium angiospermum"
"98","Heliotropium curassavicum"
"99","Heliotropium fruticosum"
"100","Heliotropium greggii"
"101","Heliotropium limbatum"
"102","Heliotropium pringlei"
"103","Heliotropium procumbens"
"104","Najas guadalupensis"
"105","Najas marina"
"106","Phacelia congesta"
"107","Hypericum pauciflorum"
"108","Hypericum punctatum"
"109","Hypericum silenoides"
"110","Hypericum sphaerocarpum"
"111","Hypoxis decumbens"
"112","Hypoxis fibrata"
"113","Hypoxis mexicana"
"114","Nemastylis tenuis"
"115","Sisyrinchium bracteatum"
"116","Sisyrinchium cernuum"
"117","Sisyrinchium convolutum"
"118","Sisyrinchium pringlei"
"119","Sisyrinchium rosulatum"
"120","Sisyrinchium scabrum"
"121","Sisyrinchium schaffneri"
"122","Ceiba aesculifolia"
"123","Ceiba pentandra"
"124","Fuertesimalva jacens"
"125","Gaya minutiflora"
"126","Helicteres guazumifolia"
"127","Heliocarpus americanus"
"128","Heliocarpus terebinthaceus"
"129","Herissantia crispa"
"130","Hibiscus phoeniceus"
"131","Kearnemalvastrum subtriflorum"
"132","Kosteletzkya tubiflora"
"133","Malvastrum coromandelianum"
"134","Malvaviscus arboreus"
"135","Meximalva filipes"
"136","Pavonia candida"
"137","Pavonia hirtiflora"
"138","Periptera punicea"
"139","Pseudabutilon ellipticum"
"140","Sida abutifolia"
"141","Sida barclayi"
"142","Sida linearis"
"143","Sida rhombifolia"
"144","Sphaeralcea angustifolia"
"145","Waltheria indica"
"146","Maranta arundinacea"
"147","Proboscidea louisiana"
"148","Anticlea virescens"
"149","Schoenocaulon caricifolium"
"150","Schoenocaulon lauricola"
"151","Cedrela odorata"
"152","Trichilia americana"
"153","Nymphoides fallax"
"154","Phemeranthus humilis"
"155","Phemeranthus napiformis"
"156","Phemeranthus parviflorus"
"157","Ficus petiolaris"
"158","Psidium sartorianum"
"159","Salvia fulgens"
"160","Salvia gesneriflora"
"161","Salvia glechomifolia"
"162","Salvia greggii"
"163","Salvia hirsuta"
"164","Salvia keerlii"
"165","Salvia laevis"
"166","Salvia lavanduloides"
"167","Salvia longispicata"
"168","Salvia lycioides"
"169","Salvia macellaria"
"170","Salvia melissodora"
"171","Salvia mexicana"
"172","Salvia micrantha"
"173","Salvia microphylla"
"174","Salvia misella"
"175","Salvia patens"
"176","Salvia pinguifolia"
"177","Salvia prunelloides"
"178","Salvia purpurea"
"179","Salvia reflexa"
"180","Salvia regla"
"181","Salvia reptans"
"182","Salvia rupicola"
"183","Salvia stricta"
"184","Salvia subincisa"
"185","Salvia tiliifolia"
"186","Salvia villosa"
"187","Stachys agraria"
"188","Stachys coccinea"
"189","Tetraclea coulteri"
"190","Teucrium laciniatum"
"191","Litsea glaucescens"
"192","Pinguicula caudata"
"193","Pinguicula oblongiloba"
"194","Calochortus barbatus"
"195","Calochortus fuscus"
"196","Calochortus hartwegii"
"197","Calochortus purpureus"
"198","Linum mexicanum"
"199","Linum pratense"
"200","Linum rupestre"
"201","Linum scabrellum"
"202","Lindernia anagallidea"
"203","Cevallia sinuata"
"204","Mentzelia aspera"
"205","Mentzelia asperula"
"206","Mentzelia hispida"
"207","Psittacanthus calyculatus"
"208","Psittacanthus palmeri"
"209","Ammannia auriculata"
"210","Cuphea aequipetala"
"211","Cuphea angustifolia"
"212","Cuphea calcarata"
"213","Cuphea jorullensis"
"214","Cuphea lanceolata"
"215","Cuphea llavea"
"216","Cuphea procumbens"
"217","Cuphea viscosissima"
"218","Cuphea wrightii"
"219","Heimia salicifolia"
"220","Lythrum californicum"
"221","Lythrum gracile"
"222","Aspicarpa humilis"
"223","Callaeum macropterum"
"224","Galphimia angustifolia"
"225","Galphimia glauca"
"226","Gaudichaudia albida"
"227","Gaudichaudia confertiflora"
"228","Gaudichaudia cynanchoides"
"229","Gaudichaudia hirtella"
"230","Gaudichaudia mollis"
"231","Gaudichaudia mucronata"
"232","Abutilon abutiloides"
"233","Abutilon grandidentatum"
"234","Abutilon incanum"
"235","Allowissadula sessei"
"236","Anoda cristata"
"237","Anoda lanceolata"
"238","Anoda thurberi"
"239","Ayenia limitaris"
"240","Ayenia mexicana"
"241","Ayenia pilosa"
"242","Ceiba acuminata"
"243","Brickellia eupatorioides"
