"","lat0","lon0","lat1","lon1","ct","lat","lon","area","density"
"2",5,-180,6,-179,0,5.5,-179.5,12288.8419551504,0
"3",5,-179,6,-178,0,5.5,-178.5,12288.8419551504,0
"4",5,-178,6,-177,0,5.5,-177.5,12288.8419551504,0
"5",5,-177,6,-176,0,5.5,-176.5,12288.8419551504,0
"6",5,-176,6,-175,0,5.5,-175.5,12288.8419551504,0
"7",5,-175,6,-174,0,5.5,-174.5,12288.8419551504,0
"8",5,-174,6,-173,0,5.5,-173.5,12288.8419551504,0
"9",5,-173,6,-172,0,5.5,-172.5,12288.8419551504,0
"10",5,-172,6,-171,0,5.5,-171.5,12288.8419551504,0
"11",5,-171,6,-170,0,5.5,-170.5,12288.8419551504,0
"12",5,-170,6,-169,0,5.5,-169.5,12288.8419551504,0
"13",5,-169,6,-168,0,5.5,-168.5,12288.8419551504,0
"14",5,-168,6,-167,0,5.5,-167.5,12288.8419551504,0
"15",5,-167,6,-166,0,5.5,-166.5,12288.8419551504,0
"16",5,-166,6,-165,0,5.5,-165.5,12288.8419551504,0
"17",5,-165,6,-164,0,5.5,-164.5,12288.8419551504,0
"18",5,-164,6,-163,0,5.5,-163.5,12288.8419551504,0
"19",5,-163,6,-162,11,5.5,-162.5,12288.8419551504,9
"20",5,-162,6,-161,1,5.5,-161.5,12288.8419551504,0.8
"21",5,-161,6,-160,1,5.5,-160.5,12288.8419551504,0.8
"22",5,-160,6,-159,0,5.5,-159.5,12288.8419551504,0
"23",5,-159,6,-158,0,5.5,-158.5,12288.8419551504,0
"24",5,-158,6,-157,0,5.5,-157.5,12288.8419551504,0
"25",5,-157,6,-156,0,5.5,-156.5,12288.8419551504,0
"26",5,-156,6,-155,0,5.5,-155.5,12288.8419551504,0
"27",5,-155,6,-154,0,5.5,-154.5,12288.8419551504,0
"28",5,-154,6,-153,0,5.5,-153.5,12288.8419551504,0
"29",5,-153,6,-152,0,5.5,-152.5,12288.8419551504,0
"30",5,-152,6,-151,0,5.5,-151.5,12288.8419551504,0
"31",5,-151,6,-150,0,5.5,-150.5,12288.8419551504,0
"32",5,-150,6,-149,0,5.5,-149.5,12288.8419551504,0
"33",5,-149,6,-148,0,5.5,-148.5,12288.8419551504,0
"34",5,-148,6,-147,0,5.5,-147.5,12288.8419551504,0
"35",5,-147,6,-146,0,5.5,-146.5,12288.8419551504,0
"36",5,-146,6,-145,0,5.5,-145.5,12288.8419551504,0
"37",5,-145,6,-144,0,5.5,-144.5,12288.8419551504,0
"38",5,-144,6,-143,0,5.5,-143.5,12288.8419551504,0
"39",5,-143,6,-142,0,5.5,-142.5,12288.8419551504,0
"40",5,-142,6,-141,0,5.5,-141.5,12288.8419551504,0
"41",5,-141,6,-140,0,5.5,-140.5,12288.8419551504,0
"42",5,-140,6,-139,0,5.5,-139.5,12288.8419551504,0
"43",5,-139,6,-138,0,5.5,-138.5,12288.8419551504,0
"44",5,-138,6,-137,0,5.5,-137.5,12288.8419551504,0
"45",5,-137,6,-136,0,5.5,-136.5,12288.8419551504,0
"46",5,-136,6,-135,0,5.5,-135.5,12288.8419551504,0
"47",5,-135,6,-134,0,5.5,-134.5,12288.8419551504,0
"48",5,-134,6,-133,0,5.5,-133.5,12288.8419551504,0
"49",5,-133,6,-132,0,5.5,-132.5,12288.8419551504,0
"50",5,-132,6,-131,0,5.5,-131.5,12288.8419551504,0
"51",5,-131,6,-130,0,5.5,-130.5,12288.8419551504,0
"52",5,-130,6,-129,0,5.5,-129.5,12288.8419551504,0
"53",5,-129,6,-128,0,5.5,-128.5,12288.8419551504,0
"54",5,-128,6,-127,0,5.5,-127.5,12288.8419551504,0
"55",5,-127,6,-126,0,5.5,-126.5,12288.8419551504,0
"56",5,-126,6,-125,0,5.5,-125.5,12288.8419551504,0
"57",5,-125,6,-124,0,5.5,-124.5,12288.8419551504,0
"58",5,-124,6,-123,0,5.5,-123.5,12288.8419551504,0
"59",5,-123,6,-122,1,5.5,-122.5,12288.8419551504,0.8
"60",5,-122,6,-121,0,5.5,-121.5,12288.8419551504,0
"61",5,-121,6,-120,0,5.5,-120.5,12288.8419551504,0
"62",5,-120,6,-119,2,5.5,-119.5,12288.8419551504,1.6
"63",5,-119,6,-118,0,5.5,-118.5,12288.8419551504,0
"64",5,-118,6,-117,0,5.5,-117.5,12288.8419551504,0
"65",5,-117,6,-116,1,5.5,-116.5,12288.8419551504,0.8
"66",5,-116,6,-115,0,5.5,-115.5,12288.8419551504,0
"67",5,-115,6,-114,0,5.5,-114.5,12288.8419551504,0
"68",5,-114,6,-113,0,5.5,-113.5,12288.8419551504,0
"69",5,-113,6,-112,0,5.5,-112.5,12288.8419551504,0
"70",5,-112,6,-111,1,5.5,-111.5,12288.8419551504,0.8
"71",5,-111,6,-110,0,5.5,-110.5,12288.8419551504,0
"72",5,-110,6,-109,0,5.5,-109.5,12288.8419551504,0
"73",5,-109,6,-108,0,5.5,-108.5,12288.8419551504,0
"74",5,-108,6,-107,0,5.5,-107.5,12288.8419551504,0
"75",5,-107,6,-106,0,5.5,-106.5,12288.8419551504,0
"76",5,-106,6,-105,0,5.5,-105.5,12288.8419551504,0
"77",5,-105,6,-104,1,5.5,-104.5,12288.8419551504,0.8
"78",5,-104,6,-103,1,5.5,-103.5,12288.8419551504,0.8
"79",5,-103,6,-102,0,5.5,-102.5,12288.8419551504,0
"80",5,-102,6,-101,2,5.5,-101.5,12288.8419551504,1.6
"81",5,-101,6,-100,0,5.5,-100.5,12288.8419551504,0
"82",5,-100,6,-99,0,5.5,-99.5,12288.8419551504,0
"83",5,-99,6,-98,0,5.5,-98.5,12288.8419551504,0
"84",5,-98,6,-97,1,5.5,-97.5,12288.8419551504,0.8
"85",5,-97,6,-96,0,5.5,-96.5,12288.8419551504,0
"86",5,-96,6,-95,0,5.5,-95.5,12288.8419551504,0
"87",5,-95,6,-94,0,5.5,-94.5,12288.8419551504,0
"88",5,-94,6,-93,0,5.5,-93.5,12288.8419551504,0
"89",5,-93,6,-92,1,5.5,-92.5,12288.8419551504,0.8
"90",5,-92,6,-91,0,5.5,-91.5,12288.8419551504,0
"91",5,-91,6,-90,0,5.5,-90.5,12288.8419551504,0
"92",5,-90,6,-89,0,5.5,-89.5,12288.8419551504,0
"93",5,-89,6,-88,0,5.5,-88.5,12288.8419551504,0
"94",5,-88,6,-87,2826,5.5,-87.5,12288.8419551504,2299.6
"95",5,-87,6,-86,0,5.5,-86.5,12288.8419551504,0
"96",5,-86,6,-85,0,5.5,-85.5,12288.8419551504,0
"97",5,-85,6,-84,3,5.5,-84.5,12288.8419551504,2.4
"98",5,-84,6,-83,0,5.5,-83.5,12288.8419551504,0
"99",5,-83,6,-82,1,5.5,-82.5,12288.8419551504,0.8
"100",5,-82,6,-81,0,5.5,-81.5,12288.8419551504,0
"101",5,-81,6,-80,124,5.5,-80.5,12288.8419551504,100.9
"102",5,-80,6,-79,60,5.5,-79.5,12288.8419551504,48.8
