NameID	Name
40002982	Abrus Adans.
20302603	Adelobotrys jefensis Almeda
40032199	Adelobotrys DC.
8501587	Aniseia cernua Moric.
8500612	Aniseia martinicensis (Jacq.) Choisy
40014954	Aniseia Choisy
3200042	Anredera cordifolia (Ten.) Steenis
3200043	Anredera ramosa (Moq.) Eliasson
3200035	Anredera vesicaria (Lam.) C.F. Gaertn.
40015841	Anredera Juss.
100373154	Antigonon amabile W. Bull
26001054	Antigonon cordatum M. Martens & Galeotti
26000132	Antigonon leptopus Hook. & Arn.
26001055	Antigonon platypus Hook. & Arn.
40016614	Antigonon Endl.
2500187	Aristolochia elegans Mast.
2500162	Aristolochia pentandra Jacq.
2500195	Aristolochia pilosa Kunth
40019513	Aristolochia L.
1702217	Arracacia nelsonii J.M. Coult. & Rose
40019902	Arracacia Bancr.
40020271	Arthrostemma Pav. ex D. Don
50005683	Asplundia albicarpa Hammel
50230659	Asplundia ceci Hammel
9700122	Asplundia stenophylla (Standl.) Harling
3200025	Basella alba L.
40025235	Basella L.
3400427	Begonia estrellensis C. DC.
3400372	Begonia glabra Aubl.
9200418	Benincasa hispida (Thunb.) Cogn.
40026467	Benincasa Savi
2600206	Blepharodon mucronatum (Schltdl.) Decne.
40028250	Blepharodon Decne.
40028696	Boehmeria Jacq.
1200186	Bomarea acuminata Baker
1200688	Bomarea allenii Killip
1200689	Bomarea andreana Baker
1201478	Bomarea bracteolata Gereau
1200690	Bomarea caldasii (Kunth) Asch. & Graebn.
1201435	Bomarea caudatisepala Gereau
1200691	Bomarea chiriquina Killip
1201556	Bomarea costaricensis Kraenzl.
1200685	Bomarea edulis (Tussac) Herb.
1200693	Bomarea hirsuta (Kunth) Herb.
1200696	Bomarea obovata Herb.
1201479	Bomarea suberecta Gereau
40029100	Bomarea Mirb.
30400654	Byttneria aculeata (Jacq.) Jacq.
40033843	Byttneria Loefl.
40034564	Calceolaria L.
13046794	Calopogonium caeruleum (Benth.) C. Wright
13045055	Calopogonium galactioides (Kunth) Benth. ex Hemsl.
13045056	Calopogonium mucunoides Desv.
40035524	Calopogonium Desv.
13027790	Canavalia ensiformis (L.) DC.
13027794	Canavalia gladiata (Jacq.) DC.
13005069	Canavalia hirsutissima J.D. Sauer
13005076	Canavalia matudae J.D. Sauer
13005084	Canavalia palmeri (Piper) Standl.
50216080	Canavalia Adans.
50313773	Capparicordis Iltis & Cornejo
17800538	Cassytha filiformis L.
9200594	Cayaponia granatensis Cogn.
100352274	Cayaponia hammelii Grayum
40003239	Cayaponia Silva Manso
100396266	Celastroideae Burnett
13028529	Centrosema brasilianum (L.) Benth.
13008066	Centrosema pascuorum Mart. ex Benth.
13008076	Centrosema schottii (Millsp.) K. Schum.
27903093	Chiococca alba (L.) Hitchc.
27902645	Chiococca belizensis Lundell
50044046	Chiococca caputensis Lorence & C.M. Taylor
27906753	Chiococca coriacea M. Martens & Galeotti
40007077	Chiococca P. Browne
9201085	Cionosicys excisus (Griseb.) C. Jeffrey
100352275	Cionosicys guabubu Grayum & J.Á. González
40009171	Cionosicys Griseb.
27101075	Clematis grossa Benth.
27101081	Clematis rhodocarpa Rose
40010110	Clematis L.
13028675	Clitoria mexicana Link
8501041	Convolvulus nodiflorus Desr.
40013641	Convolvulus L.
50293738	Cucurbita argyrosperma K. Koch
50065644	Cucurbita argyrosperma subsp. argyrosperma 
50065650	Cucurbita argyrosperma subsp. sororia (L.H. Bailey) Merrick & D.M. Bates
9201088	Cucurbita ficifolia Bouché
9201089	Cucurbita lundelliana L.H. Bailey
9200600	Cucurbita moschata Duchesne
9201080	Cucurbita okeechobeensis (Small) L.H. Bailey
9201694	Cucurbita okeechobeensis subsp. martinezii (L.H. Bailey) Walters & Deck.-Walt.
9200564	Cucurbita pepo L.
50148217	Cucurbita pepo subsp. pepo 
40017959	Cucurbita L.
50158150	Cyclanthera brachystachya (Ser.) Cogn.
50001481	Cyclanthera cogniauxii C.E. Jones & Kearns
50001483	Cyclanthera dioscoreoides C.E. Jones & Kearns
9200464	Cyclanthera dissecta (Torr. & A. Gray) Arn.
9200601	Cyclanthera dressleri Wunderlin
50001484	Cyclanthera entata C.E. Jones & Kearns
9201090	Cyclanthera integrifoliola Cogn.
9201091	Cyclanthera langaei Cogn.
9201187	Cyclanthera leptostachya Benth.
9201092	Cyclanthera multifoliola Cogn.
9200602	Cyclanthera pedata (L.) Schrad.
9200184	Cyclanthera ribiflora (Schltdl.) Cogn.
9200185	Cyclanthera steyermarkii Standl.
9201205	Cyclanthera tamnoides (Willd.) Cogn.
9200187	Cyclanthera tenuisepala Cogn.
40019172	Cyclanthera Schrad.
50176194	Cynanchum cyathiforme (Sundell) W.D. Stevens
2600245	Cynanchum foetidum (Cav.) Kunth
2600247	Cynanchum guatemalense Dugand
2609024	Cynanchum rensonii (Pittier) Woodson
50282618	Cynanchum surrubriflorum W.D. Stevens
40019970	Cynanchum L.
2735157	Cyrtocymura scorpioides (Lam.) H.Rob.
40037523	Cyrtocymura H.Rob.
100440105	Deamia chontalensis (Alexander) Doweld
100474794	Deamia montalvoae Cerén, J. Menjívar & S. Arias
2200413	Dendropanax querceti Donn. Sm.
40023564	Dendropanax Decne. & Planch.
2608100	Dictyanthus aeneus Woodson
50156054	Dictyanthus asper (Mill.) W.D. Stevens
2604223	Dictyanthus ceratopetalus Donn. Sm.
2608101	Dictyanthus tigrinus Conz. & Standl.
40030299	Dictyanthus Decne.
11000546	Dioscorea aguilarii Standl. & Steyerm.
11000003	Dioscorea alata L.
11000051	Dioscorea amazonum Mart. ex Griseb.
11000547	Dioscorea bartlettii C.V. Morton
11000549	Dioscorea bernoulliana Prain & Burkill
11000268	Dioscorea bulbifera L.
11000405	Dioscorea carionis Prain & Burkill
11000569	Dioscorea carpomaculata var. carpomaculata 
11000570	Dioscorea carpomaculata var. cinerea (Uline ex R. Knuth) O. Téllez & B.G. Schub.
11000571	Dioscorea chaponensis R. Knuth
11000572	Dioscorea chiapasensis Matuda
11000016	Dioscorea composita Hemsl.
11000550	Dioscorea cyanisticta Donn. Sm.
11000418	Dioscorea cymosula Hemsl.
50095403	Dioscorea davidsei O. Téllez
11000552	Dioscorea densiflora Hemsl.
11000553	Dioscorea dicranandra Donn. Sm.
11000573	Dioscorea escuintlensis Matuda
11000020	Dioscorea floribunda M. Martens & Galeotti
11000554	Dioscorea friedrichsthalii R. Knuth
11000574	Dioscorea gaumeri R. Knuth
50110653	Dioscorea gomez-pompae O. Téllez
11000555	Dioscorea hondurensis R. Knuth
